RBD;c_COD_COM_RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;LATITUD;LONGITUD;CONVENIO_PIE;PACE;MAT_TOTAL;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL
13325;4302;6;ESCUELA JOSE RAFAEL SALINAS;2;1;1;-30.97028454;-70.92720348;0;0;0;0;3;2;;GRATUITO;GRATUITO
13328;4101;0;JARDIN INF  DE LA UNIVERSIDAD DE LA SERENA;4;3;0;-29.913246;-71.24043;0;0;81;1;1;1;;$50.001 A $100.000;$50.001 A $100.000
13329;4101;9;JARDIN INFANTIL HAPPY KING;4;3;0;-29.923272;-71.253441;0;0;0;0;1;1;;$50.001 A $100.000;$50.001 A $100.000
13330;4101;2;COLEGIO PARTICULAR PIERROT;3;2;0;-29.906549;-71.252274;1;0;264;1;1;1;;GRATUITO;GRATUITO
13331;4102;0;JARDIN INFANTIL PIN UNO- PIN DOS;3;2;0;-29.97389793;-71.33040619;0;0;0;0;3;1;;SIN INFORMACION;SIN INFORMACION
13332;4102;9;COLEGIO SAINT MARY SCHOOL;4;3;0;-29.98781012;-71.34183347;0;0;347;1;1;2;;MAS DE $100.000;MAS DE $100.000
13333;4101;7;ESC. FAMILIAR AGRICOLA VALLE DEL ELQUI;3;2;1;-29.980049;-71.081032;1;0;237;1;1;2;;GRATUITO;GRATUITO
13334;4201;5;COLEGIO SAN IGNACIO DE LOYOLA;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13335;4101;3;COLEGIO TRINITY SCHOOL  ANEXO;4;3;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13336;4302;1;ESCUELA BASICA JOSE IGNACIO ZENTENO;2;1;1;-30.975389;-71.125099;0;0;0;0;1;2;;GRATUITO;GRATUITO
13338;4102;8;COLEGIO KID S WORLD SCHOOL;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13339;4101;6;JARDIN INFANTIL SAN DANIEL;4;3;0;-29.900415;-71.24374;0;0;13;1;1;9;;SIN INFORMACION;SIN INFORMACION
13341;4102;8;COLEGIO PART. KOMVUX - COQUIMBO;3;2;0;-29.983101;-71.334297;1;0;286;1;1;1;;GRATUITO;GRATUITO
13342;4102;6;COLEGIO PARTICULAR SAN FRANCISCO JAVIER;3;2;0;-29.9601;-71.343559;1;0;131;1;1;1;;GRATUITO;GRATUITO
13343;4102;4;JARDIN INFANTIL BAMBI;4;3;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13344;4101;2;COLEGIO AMERICANO;3;2;0;-29.87195;-71.244476;1;0;925;1;1;1;;GRATUITO;GRATUITO
13347;4101;7;JARDIN INFANTIL PAPELUCHO;4;3;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13350;4101;7;JARDIN INFANTIL LE PETIT ENFANT;3;2;0;-29.87661171;-71.24560547;0;0;0;0;3;1;;GRATUITO;GRATUITO
13351;4101;5;COLEGIO ALEJANDRO COVARRUBIAS ZAGAL;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13352;4202;3;LICEO POLIV.PADRE JOSE HERDE P-LHER;2;1;0;-31.38916;-71.41494;1;1;412;1;1;1;;GRATUITO;GRATUITO
13353;4101;1;SAINT JOHN S SCHOOL;3;2;0;;;0;0;0;0;3;1;;GRATUITO;$10.001 A $25.000
13356;4101;6;COLEGIO ALBERT EINSTEIN;3;2;0;-29.92857;-71.256752;1;0;970;1;1;1;;$1.000 A $10.000;$50.001 A $100.000
13357;4101;4;JARDIN INFANTIL EL CASTILLO DEL SABER;4;3;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13358;4106;2;ESCUELA JUAN RENDIC;6;5;1;-29.95005;-70.964287;1;0;155;1;1;1;;GRATUITO;GRATUITO
13359;4101;0;JARDIN INFANTIL MALLEN;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13360;4101;4;COLEGIO SAN NICOLAS;3;2;0;-29.92458;-71.248871;1;0;402;1;1;7;LAICA;GRATUITO;MAS DE $100.000
13361;4102;2;KID´S WORLD SCHOOL;3;2;0;-29.964211;-71.342949;1;0;997;1;1;7;LAICO;GRATUITO;$25.001 A $50.000
13362;4303;0;ESCUELA BASICA LOS ANGELES DE RAPEL;2;1;1;-30.726231;-70.809372;0;0;3;1;1;2;;GRATUITO;GRATUITO
13363;4304;9;ESCUELA BASICA MUNICIPAL LA GRANJITA;2;1;1;-30.745501;-71.293404;1;0;10;1;1;2;;GRATUITO;GRATUITO
13364;4304;7;ESCUELA BASICA MUNICIPAL EL PIDEN;2;1;1;-30.81288577;-71.22081737;0;0;0;0;3;2;;GRATUITO;GRATUITO
13365;4305;5;ESCUELA BASICA MINILLAS;2;1;1;-30.509649;-70.873383;1;0;3;1;1;2;;GRATUITO;GRATUITO
13366;4302;3;ESCUELA BASICA LOS CRISTALES DE ORO;2;1;1;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13367;4101;1;COLEGIO TRINITY SCHOOL  ANEXO;4;3;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13369;4102;8;JARDIN INFANTIL MADELEINE FAURE;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13370;4102;1;COLEGIO DEL ALBA;4;3;0;-29.95225595;-71.26876285;0;0;462;1;1;1;;MAS DE $100.000;MAS DE $100.000
13372;4101;8;COLEGIO FRANCISCO PALAU;3;2;0;-29.94511;-71.261543;1;0;545;1;1;2;;MAS DE $100.000;MAS DE $100.000
13373;4102;6;COLEGIO PARTICULAR LEONARDO DA VINCI;3;2;0;-29.95256;-71.270157;1;0;918;1;1;1;;GRATUITO;GRATUITO
13374;4301;4;ESC.BASICA FRANCISCA RAMIREZ PUEBLA;3;2;0;;;0;0;0;0;2;9;;SIN INFORMACION;SIN INFORMACION
13375;4201;2;ESCUELA BASICA EL MEMBRILLO;3;2;1;-31.87064;-71.166977;0;0;4;1;1;2;;GRATUITO;GRATUITO
13376;4101;0;COLEGIO SAN MANUEL;3;2;0;-29.888479;-71.237244;1;0;985;1;1;2;;GRATUITO;GRATUITO
13377;4101;9;JARDIN INFANTIL ECOLOGITO;4;3;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13378;4101;7;COLEGIO SER;4;3;0;-29.9233;-71.25034;0;0;16;1;1;2;;MAS DE $100.000;MAS DE $100.000
13379;4201;5;ESCUELA BASICA CUMBRE DE LOS ANDES;2;1;1;-31.738779;-71.211143;1;0;14;1;1;2;;GRATUITO;GRATUITO
13380;4201;9;ESCUELA BASICA MUNICIPAL LOS PERALES;2;1;1;-31.585859;-70.890488;0;0;8;1;1;2;;GRATUITO;GRATUITO
13381;4102;7;COLEGIO LOS CARRERA ANEXO;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13382;4201;5;ESC.ESP.PART.NUESTRA SENORA DE LOURDES;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13383;4204;3;COLEGIO CAMBRIDGE SCHOOL;3;2;0;-31.774059;-70.965973;1;0;565;1;1;1;;GRATUITO;GRATUITO
13384;4101;1;SAINT JOHN´S SCHOOL;3;2;0;-29.884769;-71.232788;1;0;1103;1;1;1;;GRATUITO;GRATUITO
13386;4101;8;COLEGIO SAGRADA FAMILIA;4;3;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13387;4301;6;COLEGIO DE ARTES ELISEO VIDELA JORQUERA;2;1;0;-30.60151863;-71.19231415;1;0;869;1;1;1;;GRATUITO;GRATUITO
13388;4101;4;COLEGIO SANTO TOMAS LA SERENA;3;2;0;-29.92345;-71.246513;1;0;922;1;1;2;;GRATUITO;MAS DE $100.000
13389;4101;2;JARDIN INFANTIL RICITOS DORADOS;4;3;0;-29.934774;-71.247879;0;0;0;0;1;9;;SIN INFORMACION;SIN INFORMACION
13390;4101;6;COLEGIO SAN ANDRES;4;3;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13391;4101;4;ESCUELA PARA ADULTOS NUEVOS HORIZONTES;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13392;4301;2;JARDIN INFANTIL SEMILLITA;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13393;4101;0;JARDIN INFANTIL MUNDO CLUB;3;2;0;-29.92018318;-71.24812317;0;0;12;1;1;2;;GRATUITO;GRATUITO
13394;4204;9;CORAZON DE JESUS;3;2;0;-31.78154;-70.960907;1;0;357;1;1;1;;GRATUITO;GRATUITO
13395;4204;7;ESCUELA ESPECIAL HOLANDA;2;1;0;-31.77861;-70.960075;0;0;35;1;1;1;;GRATUITO;GRATUITO
13396;4102;5;CENTRO EST.Y DES.INTEGRAL DEL NINO;3;2;0;-29.97386;-71.335342;1;0;458;1;1;1;;GRATUITO;GRATUITO
13397;4102;3;JARDIN INFANTIL LAS GOLONDRINAS;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13398;4203;1;JARDIN INFANTIL TISKA MAMA;3;2;0;-31.9119072;-71.51147461;0;0;0;0;1;1;;GRATUITO;GRATUITO
13400;4204;7;COLEGIO SAN FRANCISCO DE ASIS LOCAL ANEXO;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13401;4102;5;JARDIN INFANTIL CINDERELLA;4;3;0;-29.984518;-71.3619;0;0;17;1;1;1;;MAS DE $100.000;MAS DE $100.000
13402;4302;3;ESCUELA PAMA ABAJO;2;1;1;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13403;4102;1;JARDIN INFANTIL LOS ROBLECITOS;3;2;0;-29.9716568;-71.25933838;0;0;24;1;1;2;;$10.001 A $25.000;GRATUITO
13405;4102;8;JARDIN INFANTIL MUNDO FELIZ;3;2;0;-29.96411514;-71.25543976;0;0;22;1;1;7;LAICO;GRATUITO;GRATUITO
13406;4101;6;JARDIN INFANTIL PIECECITOS DE NINO;4;3;0;-29.898232;-71.25065;0;0;2;1;1;1;;GRATUITO;$25.001 A $50.000
13407;4101;4;ESCUELA PARA ADULTOS NUEVOS HORIZONTES ANEX;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13408;4101;2;LICEO CHARLES ROBERT DARWIN;4;3;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13409;4106;0;COLEGIO PARTICULAR ANTONIO VARAS;3;2;0;;;0;0;0;0;3;1;;GRATUITO;$25.001 A $50.000
13410;4101;4;JARDIN INFANTIL RUN RUN;4;3;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13411;4101;2;JARDIN INFANTIL FUERTE ALEGRIA;4;3;0;-29.925997;-71.251396;0;0;25;1;1;2;;MAS DE $100.000;MAS DE $100.000
13412;4303;0;COLEGIO BASICO RENACER DE CERRILLOS;2;1;1;-30.70546;-70.830551;1;0;38;1;1;2;;GRATUITO;GRATUITO
13413;4106;9;ESCUELA BASICA LUCILA GODOY ALCAYAGA;6;5;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13414;4102;7;ESCUELA LEON DAVID TAPIA;6;5;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13415;4101;5;LICEO DE ADULTOS MAX PLANCK;3;2;0;-29.907623;-71.24592;1;0;145;1;1;1;;GRATUITO;GRATUITO
13416;4101;3;COLEGIO ARTISTICO CULTURAL FORM-ARTE;3;2;0;-29.93201256;-71.25757599;1;0;364;1;1;7;PLURALISTA;GRATUITO;$50.001 A $100.000
13417;4101;1;COLEGIO ELQUI;3;2;0;-29.886511;-71.235947;1;0;377;1;1;1;;GRATUITO;$10.001 A $25.000
13419;4101;8;COLEGIO ANDES;4;3;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13420;4101;1;COLEGIO NUESTRA SENORA DE ANDACOLLO;3;2;0;-29.86861;-71.239677;1;0;1412;1;1;2;;GRATUITO;GRATUITO
13422;4305;8;ESCUELA BASICA EL CHACAY;2;1;1;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13423;4305;6;ESCUELA BASICA AMANECER;2;1;1;-30.27532;-70.668999;1;0;40;1;1;7;LAICA;GRATUITO;GRATUITO
13424;4101;4;JARDIN INFANTIL SUEÑO AZUL;3;2;0;-29.92001152;-71.2130661;0;0;38;1;1;1;;GRATUITO;GRATUITO
13425;4102;2;ESCUELA ESPECIAL UNPADE COQUIMBO;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13426;4101;0;COLEGIO SAN LUCAS;3;2;0;-29.89929;-71.248581;0;0;260;1;1;1;;$50.001 A $100.000;$50.001 A $100.000
13427;4303;9;COLEGIO LOS CONQUISTADORES;3;2;1;-30.6964;-70.97139;0;0;810;1;1;1;;GRATUITO;$10.001 A $25.000
13428;4201;7;ESCUELA BASICA SAN ISIDRO DE CUZ CUZ;2;1;1;-31.64827;-71.205833;1;0;167;1;1;1;;GRATUITO;GRATUITO
13429;4101;5;ANEXO COLEGIO ANDRES BELLO;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13430;4102;9;JARDIN INFANTIL QUALITY SCHOOL;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13431;4102;7;JARDIN INFANTIL LA NONA;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13432;4101;5;JARDIN INFANTIL VARITA MAGICA;3;2;0;-29.9217576;-71.2139415;0;0;0;0;2;9;;SIN INFORMACION;SIN INFORMACION
13433;4101;3;COLEGIO SAN JOSE;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13434;4101;1;COLEGIO SAN JOAQUIN;4;3;0;-29.929061;-71.24573;0;0;895;1;1;1;;MAS DE $100.000;MAS DE $100.000
13436;4101;8;JARDIN INFANTIL GENESIS;3;2;0;;;0;0;0;0;3;1;;GRATUITO;GRATUITO
13437;4101;6;COLEGIO MONTEGRANDE;4;3;0;-29.923143;-71.2507;0;0;0;0;3;1;;MAS DE $100.000;MAS DE $100.000
13438;4102;4;COLEGIO PARA ADULTOS SAINT JEAN MICHAEL;3;2;0;;;0;0;0;0;2;9;;SIN INFORMACION;SIN INFORMACION
13439;4301;2;COLEGIO PUCARA;3;2;0;-30.591961;-71.202072;1;0;577;1;1;2;;$1.000 A $10.000;$50.001 A $100.000
13440;4101;6;JARDIN INFANTIL NUEVA GENERACION;4;3;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13441;4102;4;JARDIN INFANTIL ARBOLITO;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13442;4102;2;COLEGIO SANTA FAMILIA;3;2;0;-29.99054;-71.334129;1;0;1233;1;1;2;;GRATUITO;$25.001 A $50.000
13443;4102;0;COLEGIO MUNDO FELIZ;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13444;4102;9;KID´S WORDL SCHOOL ANEXO;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13445;4102;7;COLEGIO ESPANOL;3;2;0;-29.966181;-71.341133;1;0;170;1;1;1;;$1.000 A $10.000;MAS DE $100.000
13446;4101;5;MARIA EDUCA;3;2;0;-29.9202;-71.213631;1;0;957;1;1;2;;GRATUITO;GRATUITO
13447;4101;3;JARDIN INFANTIL VILLA LA FLORIDA;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
